Type,Name,Schema,ParentName,ParentType,ParentSchema,Title,Description,CustomField1,CustomField2,CustomField3,ErrorMessage,LineNumber;;;;;;
No match found;;Type,Name,Schema;;;;
Parent match failed;;AREA,Accounts Payable,;;;;
Parent match failed;;AREA,General Ledger,;;;;
Parent match failed;;AREA,Inventory Management,;;;;
Parent match failed;;AREA,Purchasing,;;;;
Parent match failed;;AREA,Supplier portal,;;;;
Parent match failed;;COLUMN,@id,;;;;
Parent match failed;;COLUMN,@id,;;;;
Parent match failed;;COLUMN,@iso2code,;;;;
Parent match failed;;COLUMN,@timestamp,;;;;
Parent match failed;;COLUMN,_id,;;;;
Parent match failed;;COLUMN,_id,;;;;
Parent match failed;;COLUMN,_id,;;;;
Parent match failed;;COLUMN,_id,;;;;
Parent match failed;;COLUMN,_id,;;;;
Parent match failed;;COLUMN,_id,;;;;
Parent match failed;;COLUMN,AccountNumber,;;;;
Parent match failed;;COLUMN,2015_rank,;;;;
Parent match failed;;COLUMN,AccountNumber,;;;;
Parent match failed;;COLUMN,2015_revenues_m,;;;;
Parent match failed;;COLUMN,account_number,;;;;
Parent match failed;;COLUMN,_id,;;;;
Parent match failed;;COLUMN,AccountNumber,;;;;
Parent match failed;;COLUMN,_id,;;;;
Parent match failed;;COLUMN,ActiveFlag,;;;;
Parent match failed;;COLUMN,_id,;;;;
Parent match failed;;COLUMN,ActualCost,;;;;
Parent match failed;;COLUMN,ActualCost,;;;;
Parent match failed;;COLUMN,ActualCost,;;;;
Parent match failed;;COLUMN,AdditionalContactInfo,;;;;
Parent match failed;;COLUMN,ActualResourceHrs,;;;;
Parent match failed;;COLUMN,Address Line 1,;;;;
Parent match failed;;COLUMN,AddressID,;;;;
Parent match failed;;COLUMN,AddressID,;;;;
Parent match failed;;COLUMN,address,;;;;
Parent match failed;;COLUMN,ActualStartDate,;;;;
Parent match failed;;COLUMN,Address Line 2,;;;;
Parent match failed;;COLUMN,Address,;;;;
Parent match failed;;COLUMN,AddressID,;;;;
Parent match failed;;COLUMN,AddressLine1,;;;;
Parent match failed;;COLUMN,AddressLine2,;;;;
Parent match failed;;COLUMN,AddressTypeID,;;;;
Parent match failed;;COLUMN,AddressTypeID,;;;;
Parent match failed;;COLUMN,AddressLine1,;;;;
Parent match failed;;COLUMN,Availability,;;;;
Parent match failed;;COLUMN,AverageRate,;;;;
Parent match failed;;COLUMN,AverageLeadTime,;;;;
Parent match failed;;COLUMN,agent,;;;;
Parent match failed;;COLUMN,age,;;;;
Parent match failed;;COLUMN,Amount,;;;;
Parent match failed;;COLUMN,BillOfMaterialsID,;;;;
Parent match failed;;COLUMN,ActualEndDate,;;;;
Parent match failed;;COLUMN,Birth Date,;;;;
Parent match failed;;COLUMN,BirthDate,;;;;
Parent match failed;;COLUMN,Bin,;;;;
Parent match failed;;COLUMN,balance,;;;;
Parent match failed;;COLUMN,BillToAddressID,;;;;
Parent match failed;;COLUMN,BOMLevel,;;;;
Parent match failed;;COLUMN,Bonus,;;;;
Parent match failed;;COLUMN,BusinessEntityID,;;;;
Parent match failed;;COLUMN,budget,;;;;
Parent match failed;;COLUMN,BusinessEntityID,;;;;
Parent match failed;;COLUMN,born,;;;;
Parent match failed;;COLUMN,BusinessEntityID,;;;;
Parent match failed;;COLUMN,BusinessEntityID,;;;;
Parent match failed;;COLUMN,Brand,;;;;
Parent match failed;;COLUMN,BusinessEntityID,;;;;
Parent match failed;;COLUMN,AvgTicketPrice,;;;;
Parent match failed;;COLUMN,BusinessEntityID,;;;;
Parent match failed;;COLUMN,BusinessEntityID,;;;;
Parent match failed;;COLUMN,BusinessEntityID,;;;;
Parent match failed;;COLUMN,BusinessEntityID,;;;;
Parent match failed;;COLUMN,BusinessEntityID,;;;;
Parent match failed;;COLUMN,BusinessEntityID,;;;;
Parent match failed;;COLUMN,BusinessEntityID,;;;;
Parent match failed;;COLUMN,BusinessEntityID,;;;;
Parent match failed;;COLUMN,BusinessEntityID,;;;;
Parent match failed;;COLUMN,BusinessType,;;;;
Parent match failed;;COLUMN,CardNumber,;;;;
Parent match failed;;COLUMN,CardType,;;;;
Parent match failed;;COLUMN,bytes,;;;;
Parent match failed;;COLUMN,CarrierTrackingNumber,;;;;
Parent match failed;;COLUMN,Cancelled,;;;;
Parent match failed;;COLUMN,CarrierTrackingNumber,;;;;
Parent match failed;;COLUMN,Carrier,;;;;
Parent match failed;;COLUMN,category,;;;;
Parent match failed;;COLUMN,CatalogDescription,;;;;
Parent match failed;;COLUMN,Calendar Quarter,;;;;
Parent match failed;;COLUMN,ChangeNumber,;;;;
Parent match failed;;COLUMN,City,;;;;
Parent match failed;;COLUMN,city,;;;;
Parent match failed;;COLUMN,BusinessEntityID,;;;;
Parent match failed;;COLUMN,BusinessEntityID,;;;;
Parent match failed;;COLUMN,BusinessEntityID,;;;;
Parent match failed;;COLUMN,City,;;;;
Parent match failed;;COLUMN,Category,;;;;
Parent match failed;;COLUMN,city,;;;;
Parent match failed;;COLUMN,Class,;;;;
Parent match failed;;COLUMN,ClientID,;;;;
Parent match failed;;COLUMN,ClientID,;;;;
Parent match failed;;COLUMN,clientip,;;;;
Parent match failed;;COLUMN,Color,;;;;
Parent match failed;;COLUMN,Comment,;;;;
Parent match failed;;COLUMN,category,;;;;
Parent match failed;;COLUMN,Comments,;;;;
Parent match failed;;COLUMN,CommissionPct,;;;;
Parent match failed;;COLUMN,Code,;;;;
Parent match failed;;COLUMN,ContactTypeID,;;;;
Parent match failed;;COLUMN,ComponentID,;;;;
Parent match failed;;COLUMN,Company,;;;;
Parent match failed;;COLUMN,ContactTypeID,;;;;
Parent match failed;;COLUMN,BusinessEntityID,;;;;
Parent match failed;;COLUMN,COMPANY,;;;;
Parent match failed;;COLUMN,Construction,;;;;
Parent match failed;;COLUMN,CostRate,;;;;
Parent match failed;;COLUMN,CostLastYear,;;;;
Parent match failed;;COLUMN,Country Region Code,;;;;
Parent match failed;;COLUMN,CountryRegionCode,;;;;
Parent match failed;;COLUMN,Country Region Name,;;;;
Parent match failed;;COLUMN,CountryRegionCode,;;;;
Parent match failed;;COLUMN,CountryRegionCode,;;;;
Parent match failed;;COLUMN,CountryRegionCode,;;;;
Parent match failed;;COLUMN,CreditCardApprovalCode,;;;;
Parent match failed;;COLUMN,CreditCardID,;;;;
Parent match failed;;COLUMN,CreditCardID,;;;;
Parent match failed;;COLUMN,CreditCardID,;;;;
Parent match failed;;COLUMN,CultureID,;;;;
Parent match failed;;COLUMN,CreditRating,;;;;
Parent match failed;;COLUMN,CultureID,;;;;
Parent match failed;;COLUMN,cty,;;;;
Parent match failed;;COLUMN,CurrencyCode,;;;;
Parent match failed;;COLUMN,CurrencyCode,;;;;
Parent match failed;;COLUMN,CurrencyRateDate,;;;;
Parent match failed;;COLUMN,City,;;;;
Parent match failed;;COLUMN,currency,;;;;
Parent match failed;;COLUMN,CurrencyRateID,;;;;
Parent match failed;;COLUMN,CostYTD,;;;;
